おお	0.000	0.160
女子	0.960	1.040
アナ	1.040	1.040
の	1.600	1.760
仕事	1.840	2.240
に	2.240	2.480
耐える	2.480	2.880
新宝	4.960	5.360
太子	5.360	5.760
です	5.760	6.160
本日	6.400	6.800
は	6.800	7.040
島根	7.040	7.440
県	7.440	7.680
に	7.680	7.840
ある	7.840	8.000
有名	8.000	8.400
な	8.400	8.560
人気	8.560	8.880
ラーメン	8.880	9.280
店	9.280	9.520
に	9.520	9.600
やっ	9.600	9.760
て	9.760	9.920
き	9.920	10.000
まし	10.000	10.240
た	10.240	10.480
こだわり	10.960	11.680
を	11.840	12.080
教え	12.160	12.480
て	12.480	12.560
いただけ	12.560	12.960
ませ	12.960	13.280
ん	13.280	13.360
か	13.360	13.680
やっぱり	14.160	14.720
ね	14.720	15.200
手間暇	15.520	16.000
かけ	16.000	16.240
た	16.240	16.480
社	16.480	16.640
準備	16.640	16.960
だ	16.960	17.120
よ	17.120	17.360
なる	17.760	17.920
ほど	18.320	18.400
今日	18.560	18.800
も	18.800	18.960
朝	18.960	19.200
五	19.200	19.280
時	19.280	19.440
に	19.440	19.520
起き	19.520	19.680
て	19.680	19.760
ね	19.760	20.080
スプレー	20.400	20.880
で	20.880	21.040
ガチガチ	21.040	21.600
に	21.600	21.680
固め	21.680	22.080
て	22.080	22.320
セット	22.400	22.880
し	22.880	22.960
た	22.960	23.040
や	23.040	23.200
よ	23.200	23.440
髪型	23.600	23.920
の	24.320	24.400
こだわり	24.400	24.640
おお	25.440	26.400
女子	26.400	26.800
アナ	26.800	26.960
の	26.960	27.200
仕事	27.280	27.680
に	27.680	27.920
耐える	28.000	29.360
チャーシュー	29.600	30.080
に	30.080	30.240
すごく	30.240	30.640
こだわっ	30.640	31.040
て	31.040	31.200
いる	31.200	31.280
と	31.280	31.440
聞い	31.440	31.680
た	31.680	31.840
の	31.840	31.920
です	31.920	32.160
が	32.160	32.400
やっぱり	32.720	33.280
この	33.280	33.680
油	33.920	34.400
が	34.400	34.560
いい	34.560	34.720
ん	34.720	34.800
だ	34.800	34.960
よ	34.960	35.200
なる	35.600	35.840
ほど	36.240	36.320
これ	36.560	36.960
が	36.960	37.120
髪の毛	37.120	37.760
に	37.760	37.920
よく	37.920	38.240
馴染む	38.240	39.040
髪型	39.040	39.760
の	39.760	39.840
こだわり	39.840	41.840
おお	41.840	41.840
女子	41.840	42.240
アナ	42.240	42.400
の	42.560	42.720
仕事	42.720	43.200
に	43.200	43.360
耐える	43.760	43.840
髪型	44.960	45.440
で	45.440	45.600
は	45.600	45.680
なく	45.680	46.240
ラーメン	46.480	46.960
の	46.960	47.120
話	47.120	47.600
を	47.600	47.840
お	47.920	48.000
願い	48.000	48.400
し	48.400	48.560
ます	48.560	48.960
文句	49.280	49.680
が	49.680	49.840
ある	49.840	50.000
の	50.000	50.080
か	50.080	50.480
いえ	50.720	51.120
じゃあ	51.520	51.840
な	51.920	52.080
ん	52.080	52.160
だ	52.160	52.400
お前	52.800	53.200
は	53.200	53.440
俺	53.520	53.760
の	53.760	53.920
髪型	53.920	54.320
じゃ	54.320	54.400
なく	54.400	54.560
て	54.560	54.800
ラーメン	54.960	55.440
の	55.440	55.520
話	55.520	55.760
が	55.760	55.920
聞き	55.920	55.920
たい	56.080	56.240
と	56.240	56.320
いう	56.320	56.400
の	56.400	56.480
か	56.480	56.720
そう	58.400	58.400
です	58.800	59.040
おお	59.040	60.320
女子	60.400	60.400
アナ	60.400	60.400
の	61.120	61.200
仕事	61.280	61.680
に	61.680	63.280
耐える	63.600	63.600
で	63.600	63.680
は	63.680	64.000
いただい	64.000	64.400
て	64.400	64.560
み	64.560	64.640
たい	64.640	64.880
と	64.880	64.960
思い	64.960	65.200
ます	65.200	65.600
やめ	66.400	66.640
て	66.640	67.040
え	67.040	67.200
食べ	67.440	67.760
ない	67.760	68.000
で	68.000	68.400
え	68.640	68.720
じゃあ	68.880	69.120
分かっ	69.200	69.360
た	69.360	69.680
食べ	70.080	70.320
て	70.320	70.400
いる	70.400	70.560
ところ	70.560	70.800
見	70.800	70.960
たく	70.960	71.200
ない	71.200	71.360
から	71.360	71.680
食べ	71.920	72.240
終わっ	72.240	72.320
たら	72.400	72.640
読ん	72.640	72.880
で	72.880	73.120
めちゃ	73.680	74.080
おとめ	74.080	75.840
クソまず	78.400	79.040
毎日	81.920	82.480
耐え	82.480	82.800
て	83.280	83.360
耐え	83.360	83.360
て	83.360	83.360
耐え	83.440	84.240
て	84.240	84.400
耐え	84.400	84.400
て	86.160	86.160
たたたたたたたたたたえ	86.160	86.160
この	86.160	86.320
日常	86.320	86.880
