All	2.000	2.080
right	2.080	2.240
viewers	2.240	2.800
Welcome	3.120	3.440
everyone	3.440	3.920
into	4.000	4.160
this	4.160	4.320
crash	4.320	4.640
course	4.640	5.040
about	5.120	5.440
our	5.440	5.520
new	5.600	5.920
50minute	5.920	6.560
time	6.560	6.720
frame	6.720	6.960
entry	6.960	7.200
models	7.200	7.600
and	7.680	7.840
strategy	7.840	8.400
If	8.880	9.040
you	9.040	9.120
are	9.120	9.200
here	9.200	9.600
it	9.760	9.920
means	9.920	10.240
you	10.240	10.320
have	10.320	10.480
already	10.480	10.880
completed	10.880	11.360
the	11.360	11.440
first	11.440	12.000
swing	12.000	12.160
trading	12.160	12.560
strategy	12.560	13.040
So	13.360	13.520
congratulations	13.520	14.320
on	14.320	14.400
reaching	14.400	14.800
this	14.800	14.960
